datetime,trading_date,type,break_direction,level,break_bar_close,break_magnitude_pips,break_magnitude_atr,trend_duration,session,hour_utc,sma_slope,atr_pips,max_continuation_pips,max_pullback_pips,followed_through_1atr,followed_through_2atr,positive_rr
2021-01-04 02:00:00,2021-01-03,bullish_bos,bullish,1.22527,1.2256,3.3,0.4282,16,Tokyo,2,,7.71,15.0,14.7,True,False,True
2021-01-04 02:45:00,2021-01-03,bullish_bos,bullish,1.22527,1.22538,1.1,0.143,19,Tokyo,2,,7.69,32.3,12.5,True,True,True
2021-01-04 04:30:00,2021-01-03,bearish_bos,bearish,1.22485,1.22467,1.8,0.2689,1,Tokyo,4,,6.69,5.4,53.8,False,False,False
2021-01-04 07:00:00,2021-01-03,bullish_bos,bullish,1.22593,1.22631,3.8,0.5714,1,Tokyo,7,,6.65,42.9,6.5,True,True,True
2021-01-04 09:15:00,2021-01-03,bullish_bos,bullish,1.22861,1.2294,7.9,0.8785,10,London,9,,8.99,15.6,22.9,True,False,False
2021-01-04 12:45:00,2021-01-03,bullish_bos,bullish,1.22994,1.23032,3.8,0.4967,24,London,12,11.115999999999904,7.65,6.4,60.8,False,False,False
2021-01-04 14:15:00,2021-01-03,bullish_bos,bullish,1.2306,1.23063,0.3,0.0317,30,New_York,14,10.263999999999829,9.45,1.6,63.9,False,False,False
2021-01-04 15:00:00,2021-01-03,bearish_choch,bearish,1.22862,1.22788,7.4,0.6108,33,New_York,15,9.452000000000904,12.11,37.5,3.3,True,True,True
2021-01-04 16:45:00,2021-01-03,bearish_bos,bearish,1.22602,1.22535,6.7,0.5134,1,New_York,16,4.061999999998012,13.05,12.2,7.6,False,False,True
2021-01-04 19:45:00,2021-01-03,bullish_choch,bullish,1.22514,1.2252,0.6,0.0815,13,Off_Hours,19,-0.31000000000336314,7.36,10.9,10.7,True,False,True
2021-01-04 22:00:00,2021-01-04,bullish_choch,bullish,1.22496,1.22507,1.1,0.1768,22,Off_Hours,22,-6.046000000001772,6.22,26.0,4.5,True,True,True
2021-01-05 00:30:00,2021-01-04,bullish_bos,bullish,1.22534,1.22544,1.0,0.2074,8,Tokyo,0,-8.722000000001007,4.82,22.3,1.0,True,True,True
2021-01-05 02:15:00,2021-01-04,bullish_bos,bullish,1.22629,1.22647,1.8,0.3994,15,Tokyo,2,-7.724000000002285,4.51,14.0,9.5,True,True,True
2021-01-05 07:00:00,2021-01-04,bearish_choch,bearish,1.22659,1.22646,1.3,0.2729,34,Tokyo,7,2.8959999999988995,4.76,9.4,26.0,True,False,False
2021-01-05 07:45:00,2021-01-04,bearish_bos,bearish,1.22613,1.22581,3.2,0.5796,1,Tokyo,7,3.2739999999975566,5.52,0.0,32.5,False,False,False
2021-01-05 09:15:00,2021-01-04,bullish_choch,bullish,1.22787,1.22838,5.1,0.5975,7,London,9,4.329999999999057,8.54,6.8,30.0,False,False,False
2021-01-05 10:15:00,2021-01-04,bullish_bos,bullish,1.22787,1.22812,2.5,0.2583,0,London,10,5.540000000003875,9.68,9.4,27.4,False,False,False
2021-01-05 11:00:00,2021-01-04,bullish_bos,bullish,1.22787,1.22805,1.8,0.1919,3,London,11,6.2080000000008795,9.38,24.7,26.7,True,True,False
2021-01-05 12:15:00,2021-01-04,bearish_choch,bearish,1.22755,1.22715,4.0,0.484,8,London,12,5.964000000000524,8.26,17.7,33.7,True,True,False
2021-01-05 16:00:00,2021-01-04,bullish_choch,bullish,1.22784,1.22789,0.5,0.051,4,New_York,16,0.6180000000011177,9.8,26.7,5.0,True,True,True
