datetime,trading_date,type,ob_top,ob_bottom,ob_size_pips,ob_size_atr,trigger_event,session,hour_utc,sma_slope,range_position,atr_pips,touched,filled,held,touch_bars,fill_bars
2021-01-04 01:15:00,2021-01-03,bullish_ob,1.22487,1.22428,5.9,0.7712,bos,Tokyo,1,,0.6991,7.65,True,True,False,6.0,13.0
2021-01-04 02:30:00,2021-01-03,bullish_ob,1.22584,1.22494,9.0,1.1382,bos,Tokyo,2,,0.8437,7.91,True,True,False,1.0,3.0
2021-01-04 03:45:00,2021-01-03,bearish_ob,1.22577,1.22515,6.2,0.8569,bos,Tokyo,3,,0.8681,7.24,True,True,False,5.0,5.0
2021-01-04 06:15:00,2021-01-03,bullish_ob,1.22475,1.2242,5.5,0.9006,bos,Tokyo,6,,0.5101,6.11,True,True,False,44.0,54.0
2021-01-04 08:45:00,2021-01-03,bullish_ob,1.22854,1.22798,5.6,0.6343,bos,London,8,,0.9381,8.83,True,True,False,22.0,23.0
2021-01-04 12:30:00,2021-01-03,bullish_ob,1.23,1.22942,5.8,0.7512,bos,London,12,,0.9452,7.72,True,True,False,1.0,2.0
2021-01-04 14:00:00,2021-01-03,bullish_ob,1.23035,1.22936,9.9,1.1141,bos,New_York,14,10.251999999999484,0.8849,8.89,True,True,False,1.0,1.0
2021-01-04 14:15:00,2021-01-03,bearish_ob,1.23096,1.2294,15.6,1.6508,choch,New_York,14,10.263999999999829,0.8858,9.45,False,False,False,,
2021-01-04 16:00:00,2021-01-03,bearish_ob,1.22773,1.22666,10.7,0.8132,bos,New_York,16,6.614000000000342,0.4488,13.16,True,True,False,39.0,62.0
2021-01-04 19:15:00,2021-01-03,bullish_ob,1.22492,1.22466,2.6,0.3193,choch,Off_Hours,19,0.530000000003028,0.0818,8.14,True,True,False,1.0,1.0
2021-01-04 21:15:00,2021-01-03,bullish_ob,1.22481,1.2242,6.1,0.9771,choch,Off_Hours,21,-3.9599999999984092,0.0549,6.24,True,False,True,1.0,
2021-01-05 00:00:00,2021-01-04,bullish_ob,1.22527,1.2247,5.7,1.0711,bos,Tokyo,0,-8.976000000000539,0.1252,5.32,False,False,False,,
2021-01-05 01:45:00,2021-01-04,bullish_ob,1.226,1.22566,3.4,0.853,bos,Tokyo,1,-8.063999999998739,0.2489,3.99,True,True,False,22.0,22.0
2021-01-05 06:30:00,2021-01-04,bearish_ob,1.2274,1.22665,7.5,1.7073,choch,Tokyo,6,1.8799999999985495,0.8178,4.39,True,True,False,1.0,5.0
2021-01-05 07:15:00,2021-01-04,bearish_ob,1.2271,1.2264,7.0,1.4391,bos,Tokyo,7,3.2440000000000246,0.7401,4.86,True,True,False,1.0,1.0
2021-01-05 08:15:00,2021-01-04,bullish_ob,1.22787,1.22665,12.2,1.708,choch,London,8,3.3879999999997246,0.8369,7.14,True,True,False,1.0,14.0
2021-01-05 09:45:00,2021-01-04,bullish_ob,1.22814,1.22684,13.0,1.3757,bos,London,9,4.774000000000722,0.7872,9.45,True,True,False,1.0,8.0
2021-01-05 10:45:00,2021-01-04,bullish_ob,1.22828,1.22755,7.3,0.7825,bos,London,10,6.00800000000179,0.8671,9.33,True,True,False,1.0,5.0
2021-01-05 11:30:00,2021-01-04,bearish_ob,1.22906,1.22816,9.0,1.0311,choch,London,11,6.251999999997704,0.8968,8.73,True,True,False,14.0,17.0
2021-01-05 15:00:00,2021-01-04,bullish_ob,1.22655,1.22538,11.7,1.3062,choch,New_York,15,1.8500000000010175,0.159,8.96,True,False,True,96.0,
2021-01-06 00:30:00,2021-01-05,bullish_ob,1.22976,1.2292,5.6,1.1649,bos,Tokyo,0,3.3060000000006973,0.7915,4.81,True,True,False,2.0,2.0
2021-01-06 00:45:00,2021-01-05,bearish_ob,1.23261,1.22952,30.9,4.6317,choch,Tokyo,0,3.6059999999982217,0.7863,6.67,True,True,False,7.0,22.0
2021-01-06 02:30:00,2021-01-05,bearish_ob,1.22908,1.22852,5.6,0.5509,choch,Tokyo,2,4.357999999999862,0.473,10.16,True,True,False,1.0,2.0
2021-01-06 03:45:00,2021-01-05,bullish_ob,1.22885,1.22844,4.1,0.3696,choch,Tokyo,3,3.8120000000008147,0.4384,11.09,True,True,False,46.0,46.0
2021-01-06 06:15:00,2021-01-05,bullish_ob,1.23063,1.23012,5.1,0.6939,bos,Tokyo,6,1.812000000001035,0.5583,7.35,True,True,False,30.0,30.0
2021-01-06 11:00:00,2021-01-05,bullish_ob,1.23426,1.23368,5.8,0.5966,bos,London,11,8.193999999999146,0.9211,9.72,True,True,False,2.0,2.0
2021-01-06 13:15:00,2021-01-05,bearish_ob,1.23448,1.23364,8.4,0.9492,bos,New_York,13,8.691999999999034,0.8809,8.85,True,False,True,26.0,
2021-01-06 15:00:00,2021-01-05,bearish_ob,1.2316,1.23043,11.7,0.8764,bos,New_York,15,5.327999999999999,0.4689,13.35,True,True,False,10.0,12.0
2021-01-06 17:30:00,2021-01-05,bullish_ob,1.23034,1.22985,4.9,0.3607,choch,New_York,17,0.36200000000041754,0.4225,13.59,True,True,False,4.0,4.0
2021-01-06 19:45:00,2021-01-05,bullish_ob,1.23131,1.22976,15.5,1.6744,bos,Off_Hours,19,-0.8180000000024279,0.475,9.26,True,True,False,38.0,48.0
2021-01-06 22:15:00,2021-01-06,bullish_ob,1.23299,1.23234,6.5,0.6449,bos,Off_Hours,22,-1.2559999999983695,0.7288,10.08,True,True,False,5.0,12.0
2021-01-07 01:30:00,2021-01-06,bearish_ob,1.23369,1.23282,8.7,1.4982,choch,Tokyo,1,-1.03200000000081,0.8455,5.81,True,False,True,4.0,
2021-01-07 03:15:00,2021-01-06,bullish_ob,1.23277,1.23251,2.6,0.416,choch,Tokyo,3,1.0460000000001024,0.7728,6.25,True,True,False,2.0,3.0
2021-01-07 04:00:00,2021-01-06,bearish_ob,1.2331,1.23266,4.4,0.8485,bos,Tokyo,4,2.56800000000057,0.8033,5.19,False,False,False,,
2021-01-07 07:45:00,2021-01-06,bearish_ob,1.23165,1.2308,8.5,1.3934,bos,Tokyo,7,2.4279999999987645,0.3137,6.1,True,False,True,2.0,
2021-01-07 08:30:00,2021-01-06,bearish_ob,1.23093,1.23001,9.2,1.098,bos,London,8,0.9740000000002524,0.2326,8.38,False,False,False,,
2021-01-07 13:45:00,2021-01-06,bullish_ob,1.22757,1.22618,13.9,1.4544,choch,New_York,13,-13.475999999998933,0.2582,9.56,True,True,False,1.0,2.0
2021-01-07 17:15:00,2021-01-06,bullish_ob,1.22701,1.2256,14.1,1.0763,choch,New_York,17,-12.554000000000176,0.2167,13.1,True,True,False,3.0,26.0
2021-01-07 20:15:00,2021-01-06,bearish_ob,1.22703,1.22646,5.7,0.7514,choch,Off_Hours,20,-9.009999999998186,0.3118,7.59,True,True,False,1.0,3.0
2021-01-08 00:15:00,2021-01-07,bearish_ob,1.22713,1.22664,4.9,0.9554,bos,Tokyo,0,1.3700000000005375,0.625,5.13,True,True,False,19.0,52.0
2021-01-08 07:00:00,2021-01-07,bearish_ob,1.22653,1.2258,7.3,1.4855,choch,Tokyo,7,-1.1200000000033405,0.6066,4.91,True,True,False,24.0,24.0
2021-01-08 10:45:00,2021-01-07,bullish_ob,1.22412,1.2238,3.2,0.2651,bos,London,10,-6.827999999998724,0.4459,12.07,True,True,False,10.0,10.0
2021-01-08 12:30:00,2021-01-07,bullish_ob,1.22526,1.2247,5.6,0.6847,bos,London,12,-4.457999999998297,0.6182,8.18,True,True,False,5.0,5.0
2021-01-08 14:15:00,2021-01-07,bearish_ob,1.22834,1.22631,20.3,1.612,choch,New_York,14,0.28799999999939985,0.8422,12.59,True,False,True,6.0,
2021-01-08 16:30:00,2021-01-07,bearish_ob,1.22622,1.22449,17.3,0.828,bos,New_York,16,-1.8600000000024153,0.5659,20.89,False,False,False,,
2021-01-10 22:00:00,2021-01-10,bearish_ob,1.22284,1.22144,14.0,1.6388,choch,Off_Hours,22,-2.66400000000111,0.3111,8.54,False,False,False,,
2021-01-11 00:45:00,2021-01-10,bearish_ob,1.21917,1.21852,6.5,0.6132,bos,Tokyo,0,-9.78400000000157,0.0702,10.6,True,True,False,20.0,23.0
2021-01-11 05:00:00,2021-01-10,bullish_ob,1.2174,1.217,4.0,0.6313,choch,Tokyo,5,-15.05399999999879,0.0558,6.34,True,True,False,15.0,16.0
2021-01-11 07:45:00,2021-01-10,bullish_ob,1.21855,1.21781,7.4,1.1385,bos,Tokyo,7,-7.014000000000742,0.246,6.5,True,True,False,3.0,5.0
2021-01-11 09:15:00,2021-01-10,bearish_ob,1.21858,1.21781,7.7,0.8179,choch,London,9,-4.843999999999404,0.2484,9.41,True,False,True,95.0,
2021-01-11 11:30:00,2021-01-10,bearish_ob,1.21682,1.21601,8.1,0.8223,bos,London,11,-10.594000000001547,0.1538,9.85,True,True,False,1.0,2.0
2021-01-11 12:30:00,2021-01-10,bearish_ob,1.21719,1.21618,10.1,1.103,bos,London,12,-8.429999999999271,0.2742,9.16,True,True,False,12.0,15.0
2021-01-11 15:45:00,2021-01-10,bullish_ob,1.21557,1.21455,10.2,0.8385,choch,New_York,15,-5.564000000000124,0.2733,12.16,True,True,False,17.0,36.0
2021-01-11 18:15:00,2021-01-10,bearish_ob,1.21715,1.21669,4.6,0.5745,choch,Off_Hours,18,-1.3799999999997148,0.548,8.01,True,True,False,1.0,51.0
2021-01-11 19:30:00,2021-01-10,bearish_ob,1.21683,1.21649,3.4,0.5972,bos,Off_Hours,19,-2.585999999999977,0.5096,5.69,True,True,False,1.0,46.0
2021-01-11 21:00:00,2021-01-10,bearish_ob,1.21577,1.21529,4.8,0.9359,bos,Off_Hours,21,-5.4780000000032025,0.3427,5.13,True,True,False,1.0,6.0
2021-01-11 22:30:00,2021-01-11,bullish_ob,1.21572,1.21511,6.1,1.2096,choch,Off_Hours,22,-5.530000000000257,0.5238,5.04,True,True,False,1.0,4.0
2021-01-12 00:45:00,2021-01-11,bearish_ob,1.216,1.21527,7.3,1.5944,choch,Tokyo,0,-1.59200000000137,0.576,4.58,True,True,False,18.0,22.0
2021-01-12 03:45:00,2021-01-11,bearish_ob,1.21489,1.2146,2.9,0.4988,choch,Tokyo,3,-0.8539999999990222,0.2155,5.81,True,True,False,5.0,6.0
2021-01-12 05:00:00,2021-01-11,bullish_ob,1.21427,1.21399,2.8,0.661,choch,Tokyo,5,-1.4979999999997773,0.0758,4.24,True,True,False,21.0,33.0
2021-01-12 06:15:00,2021-01-11,bullish_ob,1.21519,1.21486,3.3,0.8063,choch,Tokyo,6,-3.442000000000167,0.3541,4.09,True,True,False,6.0,16.0
2021-01-12 08:45:00,2021-01-11,bullish_ob,1.21641,1.21508,13.3,1.6038,bos,London,8,-1.0399999999988196,0.515,8.29,True,True,False,1.0,5.0
