datetime,trading_date,type,direction,swing_price,sweep_depth_pips,sweep_depth_atr,entry_price,session,hour_utc,sma_slope,bars_since_swing,atr_pips,max_favorable_pips,max_adverse_pips,reversed_1atr,reversed_2atr,positive_rr
2021-01-04 12:30:00,2021-01-03,buyside_sweep,SHORT,1.22994,0.6,0.0777,1.22949,London,12,,6,7.72,52.5,14.7,True,True,True
2021-01-04 13:15:00,2021-01-03,sellside_sweep,LONG,1.2287,0.8,0.0982,1.22883,New_York,13,10.817999999999106,5,8.14,21.3,45.9,True,True,False
2021-01-04 14:30:00,2021-01-03,buyside_sweep,SHORT,1.2306,1.9,0.186,1.22996,New_York,14,10.196000000000094,7,10.21,58.3,4.5,True,True,True
2021-01-04 20:00:00,2021-01-03,buyside_sweep,SHORT,1.22514,0.7,0.0977,1.22479,Off_Hours,20,-0.901999999998182,4,7.16,6.6,15.0,False,False,False
2021-01-04 20:45:00,2021-01-03,sellside_sweep,LONG,1.22424,0.8,0.1277,1.2249,Off_Hours,20,-2.348000000000905,9,6.26,23.9,7.4,True,True,True
2021-01-04 21:45:00,2021-01-03,buyside_sweep,SHORT,1.22496,2.6,0.4262,1.22473,Off_Hours,21,-5.38400000000161,3,6.1,4.1,29.4,False,False,False
2021-01-04 23:15:00,2021-01-04,buyside_sweep,SHORT,1.22526,0.8,0.144,1.2248,Off_Hours,23,-8.478000000000652,5,5.56,1.0,28.7,False,False,False
2021-01-05 07:15:00,2021-01-04,sellside_sweep,LONG,1.22659,1.9,0.3906,1.22699,Tokyo,7,3.2440000000000246,12,4.86,20.7,14.7,True,True,True
2021-01-05 08:00:00,2021-01-04,sellside_sweep,LONG,1.22613,3.2,0.4978,1.22695,London,8,3.3559999999988044,4,6.43,21.1,9.2,True,True,True
2021-01-05 09:00:00,2021-01-04,buyside_sweep,SHORT,1.22787,1.7,0.2046,1.22768,London,9,4.030000000001532,3,8.31,23.0,13.8,True,True,True
2021-01-05 09:45:00,2021-01-04,buyside_sweep,SHORT,1.22787,2.7,0.2857,1.22722,London,9,4.774000000000722,6,9.45,18.4,18.4,True,False,False
2021-01-05 10:45:00,2021-01-04,buyside_sweep,SHORT,1.22787,4.1,0.4395,1.22771,London,10,6.00800000000179,10,9.33,23.3,19.5,True,True,True
2021-01-05 14:45:00,2021-01-04,sellside_sweep,LONG,1.22603,1.3,0.1483,1.2264,New_York,14,2.377999999998437,4,8.76,41.6,10.2,True,True,True
2021-01-05 15:45:00,2021-01-04,buyside_sweep,SHORT,1.22784,4.1,0.4094,1.22754,New_York,15,0.6960000000000299,5,10.01,2.4,30.2,False,False,False
2021-01-05 20:00:00,2021-01-04,buyside_sweep,SHORT,1.23048,0.8,0.1256,1.2301,Off_Hours,20,6.082000000000587,7,6.37,20.0,25.1,True,True,False
2021-01-06 00:00:00,2021-01-05,buyside_sweep,SHORT,1.23018,1.3,0.2708,1.22959,Tokyo,0,3.2500000000013074,8,4.8,20.4,30.2,True,True,False
2021-01-06 01:00:00,2021-01-05,buyside_sweep,SHORT,1.23031,12.1,1.6011,1.23019,Tokyo,1,3.9179999999983117,4,7.56,26.4,32.1,True,True,False
2021-01-06 03:00:00,2021-01-05,sellside_sweep,LONG,1.2281,5.5,0.4803,1.22891,Tokyo,3,4.207999999998879,6,11.45,56.1,5.6,True,True,True
2021-01-06 11:30:00,2021-01-05,buyside_sweep,SHORT,1.23442,4.9,0.5108,1.23441,London,11,8.83200000000084,6,9.59,78.6,5.3,True,True,True
2021-01-06 12:45:00,2021-01-05,sellside_sweep,LONG,1.23334,3.6,0.4138,1.23401,London,12,9.005999999998071,4,8.7,4.7,74.6,False,False,False
2021-01-07 01:15:00,2021-01-06,sellside_sweep,LONG,1.23299,0.9,0.1589,1.23311,Tokyo,1,-1.2380000000011826,3,5.66,5.9,23.9,True,False,False
2021-01-07 04:15:00,2021-01-06,buyside_sweep,SHORT,1.23286,2.7,0.5324,1.23285,Tokyo,4,3.711999999997939,5,5.07,77.2,0.9,True,True,True
2021-01-07 14:15:00,2021-01-06,buyside_sweep,SHORT,1.22784,4.1,0.395,1.22685,New_York,14,-12.866000000000266,5,10.38,22.4,10.5,True,True,True
2021-01-07 15:30:00,2021-01-06,sellside_sweep,LONG,1.22618,11.5,0.9076,1.22637,New_York,15,-12.640000000001539,7,12.67,15.3,9.5,True,False,True
2021-01-07 18:45:00,2021-01-06,buyside_sweep,SHORT,1.22772,1.0,0.1032,1.22741,Off_Hours,18,-10.396000000001404,9,9.69,17.5,2.9,True,False,True
2021-01-07 21:00:00,2021-01-06,sellside_sweep,LONG,1.2264,1.3,0.1938,1.22701,Off_Hours,21,-8.85600000000153,7,6.71,6.9,35.2,True,False,False
2021-01-08 00:30:00,2021-01-07,buyside_sweep,SHORT,1.22718,0.6,0.1067,1.22598,Tokyo,0,1.5579999999970617,5,5.62,24.9,8.3,True,True,True
2021-01-08 05:15:00,2021-01-07,buyside_sweep,SHORT,1.22647,3.4,0.6979,1.22637,Tokyo,5,-0.21800000000071762,7,4.87,50.5,5.4,True,True,True
2021-01-08 07:15:00,2021-01-07,buyside_sweep,SHORT,1.22681,1.0,0.1887,1.2262,Tokyo,7,-1.1899999999998023,8,5.3,48.8,0.4,True,True,True
2021-01-08 13:30:00,2021-01-07,sellside_sweep,LONG,1.22453,11.2,1.2052,1.22715,New_York,13,-2.5399999999997647,3,9.29,13.0,78.6,True,False,False
